_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
14795	2019	1001	Genova	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	SAVONA	9	F	25
14796	2019	1001	Genova	L-22	Scienze Motorie, Sport e Salute	SAVONA	9	M	25
14797	2019	1001	Genova	L-10	Lettere	GENOVA	10	M	25
14798	2019	1501	Milano	L/SNT2	Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale)	BOSISIO PARINI	97	F	25
14799	2019	1501	Milano	LM-45	Scienze della Musica e dello Spettacolo	MILANO	15	F	25
14800	2019	1501	Milano	LM-09	Safety Assessment Of Xenobiotics And Biotechnological Products - Valutazione della Sicurezza di Xenobiotici e Prodotti Biotecnologici	MILANO	15	F	25
14801	2019	1502	Milano Politecnico	L-07	Ingegneria Civile e Ambientale	LECCO	97	M	25
14802	2019	1502	Milano Politecnico	L-04	Design della Moda	MILANO	15	M	25
14803	2021	9001	Sassari	L-09	Gestione Energetica e Sicurezza	SASSARI	90	M	25
14804	2021	9201	Cagliari	L-13	Biologia	CAGLIARI	92	M	25
14805	2021	9201	Cagliari	L-03	Beni Culturali e Spettacolo	CAGLIARI	92	F	25
14806	2021	9001	Sassari	LM-61	Scienze dell'Alimentazione, Salute e Benessere dell'Uomo	SASSARI	90	F	25
14807	2021	8001	Reggio Calabria	LM-56	Economia	REGGIO DI CALABRIA	80	F	25
14808	2021	7801	Calabria	LM-14	Filologia Moderna	RENDE	78	F	25
14809	2021	7601	Basilicata	L-01	Operatore dei Beni Culturali	MATERA	77	F	25
14810	2021	8301	Messina	LM-77	Consulenza e Gestione di Impresa	MESSINA	83	F	25
14811	2021	6501	Salerno	LM-22	Ingegneria Chimica	FISCIANO	65	F	25
14812	2021	6306	Napoli Vanvitelli	L-36	Scienze Politiche	CASERTA	61	F	25
14813	2021	6306	Napoli Vanvitelli	L-01	Conservazione dei Beni Culturali	SANTA MARIA CAPUA VETERE	61	F	25
14814	2021	6301	Napoli Federico II	L/SNT2	Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista)	NAPOLI	63	M	25
14815	2021	6301	Napoli Federico II	L-01	Archeologia, Storia delle Arti e Scienze del Patrimonio Culturale	NAPOLI	63	M	25
14816	2021	6301	Napoli Federico II	LM-56	Economia e Finanza	NAPOLI	63	M	25
14817	2021	6301	Napoli Federico II	LM-34	Ingegneria Navale	NAPOLI	63	M	25
14818	2021	6301	Napoli Federico II	LM-89	Archeologia e Storia dell'Arte	NAPOLI	63	F	25
14819	2021	7201	Bari	L-24	Scienze e Tecniche Psicologiche	BARI	72	M	25
14820	2021	7201	Bari	LM-13	Farmacia	BARI	72	M	25
14821	2021	7201	Bari	LM-77	Economia degli Intermediari e dei Mercati Finanziari	BARI	72	M	25
14822	2021	7501	Salento	L-09	Ingegneria Industriale	BRINDISI	74	M	25
14823	2021	6601	L'Aquila	L-10	Lettere	L'AQUILA	66	F	25
14824	2021	7101	Foggia	LM-77	Economia Aziendale	FOGGIA	71	F	25
14825	2021	7001	Molise	LM-41	Medicina e Chirurgia	CAMPOBASSO	70	M	25
14826	2021	3701	Bologna	LM-75	Analisi e Gestione dell'Ambiente	RAVENNA	39	M	25
14827	2021	3701	Bologna	LM-57	Scienze dell'Educazione Permanente e della Formazione Continua	BOLOGNA	37	F	25
14828	2021	3701	Bologna	LM-51	Psicologia Scolastica e di Comunità	CESENA	40	F	25
14829	2021	3701	Bologna	LM-40	Matematica	BOLOGNA	37	M	25
14830	2021	3801	Ferrara	L-14	Operatore dei Servizi Giuridici	FERRARA	38	F	25
14831	2021	3701	Bologna	LM-92	Semiotica	BOLOGNA	37	M	25
14832	2021	3701	Bologna	LM-17	Physics	BOLOGNA	37	F	25
14833	2021	3701	Bologna	LM-30	Ingegneria Energetica	BOLOGNA	37	F	25
14834	2021	3701	Bologna	LM-33	Ingegneria Meccanica	BOLOGNA	37	F	25
14835	2021	3701	Bologna	LM-06	Biodiversità ed Evoluzione	BOLOGNA	37	F	25
14836	2021	3701	Bologna	L-26	Viticoltura ed Enologia	CESENA	40	M	25
14837	2021	3701	Bologna	L-27	Chimica Industriale	BOLOGNA	37	F	25
14838	2021	3701	Bologna	L-08	Ingegneria Elettronica per l'Energia e l'Informazione	CESENA	40	M	25
14839	2021	3701	Bologna	L/SNT2	Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale)	IMOLA	37	F	25
14840	2021	3601	Modena e Reggio Emilia	L-07	Ingegneria Civile e Ambientale	MODENA	36	F	25
14841	2021	3601	Modena e Reggio Emilia	L-20	Scienze della Comunicazione	REGGIO NELL'EMILIA	35	M	25
14842	2021	3601	Modena e Reggio Emilia	L-27	Chimica	MODENA	36	M	25
14843	2021	3601	Modena e Reggio Emilia	L-30	Fisica	MODENA	36	M	25
14844	2021	3201	Trieste	LM-87	Servizio Sociale, Politiche Sociali, Programmazione e Gestione dei Servizi	TRIESTE	32	F	25
14845	2021	4801	Firenze	LM-77	Accounting e Libera Professione	FIRENZE	48	M	25
14846	2021	4801	Firenze	LM-68	Scienze e Tecniche dello Sport e delle Attività Motorie Preventive e Adattate	FIRENZE	48	F	25
14847	2021	5001	Pisa	L-32	Scienze Naturali ed Ambientali	PISA	50	F	25
14848	2021	5001	Pisa	L-27	Chimica	PISA	50	F	25
14849	2021	5001	Pisa	L-27	Chimica	PISA	50	M	25
14850	2021	4301	Macerata	L-20	Scienze della Comunicazione	MACERATA	43	M	25
14851	2021	4201	Marche	LM-69	Scienze Agrarie e del Territorio	ANCONA	42	M	25
14852	2021	4302	Camerino	L-02	Bioscienze e Biotecnologia - Biosciences And Biotechnology	CAMERINO	43	F	25
14853	2021	4302	Camerino	LMG/01	Giurisprudenza	CAMERINO	43	M	25
14854	2021	4302	Camerino	L-37	Scienze Sociali per Gli Enti Non-Profit e la Cooperazione Internazionale	CAMERINO	43	F	25
14855	2021	4101	Urbino	LMG/01	Giurisprudenza	URBINO	41	F	25
14856	2021	4201	Marche	LM-04cu	Ingegneria Edile-Architettura	ANCONA	42	F	25
14857	2021	4201	Marche	L-08	Ingegneria Informatica e dell'Automazione	ANCONA	42	F	25
14858	2021	4101	Urbino	L-31	Informatica Applicata	URBINO	41	M	25
14859	2021	3801	Ferrara	L-33	Economia	FERRARA	38	M	25
14860	2021	3801	Ferrara	LM-56	Economics, Management And Policies For Global Challenges	FERRARA	38	F	25
14861	2021	5815	Roma UNICUSANO - telematica	LM-85	Scienze Pedagogiche	ROMA	58	M	25
14862	2021	5810	Roma Marconi - telematica	LM-62	Scienze Politiche	ROMA	58	M	25
14863	2021	5807	Roma Tre	LM-37	Letterature e Traduzione Interculturale	ROMA	58	F	25
14864	2021	5801	Roma La Sapienza	LM-54	Chimica	ROMA	58	M	25
14865	2021	5801	Roma La Sapienza	LM-76	Turismo e Gestione delle Risorse Ambientali	ROMA	58	F	25
14866	2021	5802	Roma Tor Vergata	L-13	Scienze Biologiche	ROMA	58	M	25
14867	2021	5802	Roma Tor Vergata	L-31	Informatica	ROMA	58	M	25
14868	2021	5802	Roma Tor Vergata	L-33	Business Administration & Economics	ROMA	58	M	25
14869	2021	5802	Roma Tor Vergata	LM-29	Ingegneria Elettronica	ROMA	58	M	25
14870	2021	5802	Roma Tor Vergata	LM-77	Business Administration	ROMA	58	F	25
14871	2021	5807	Roma Tre	L-08	Ingegneria Informatica	ROMA	58	F	25
14872	2021	5806	Roma Foro Italico	LM-67	Attività Motorie Preventive e Adattate	ROMA	58	F	25
14873	2021	5803	Roma LUMSA	L-33	Economia e Commercio	PALERMO	82	F	25
14874	2021	5805	Roma LUISS	L-18	Management And Computer Science	ROMA	58	M	25
14875	2021	5801	Roma La Sapienza	L-33	Relazioni Economiche Internazionali	ROMA	58	F	25
14876	2021	5801	Roma La Sapienza	L-11	Lingue e Civiltà Orientali	ROMA	58	M	25
14877	2021	5801	Roma La Sapienza	LM-40	Matematica	ROMA	58	M	25
14878	2021	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	RIETI	57	M	25
14879	2021	5601	Tuscia	L-26	Tecnologie Alimentari ed Enologiche	VITERBO	56	M	25
14880	2021	5201	Siena	L-01	Scienze Storiche e del Patrimonio Culturale	SIENA	52	M	25
14881	2021	5201	Siena	LM-14	Lettere Moderne	SIENA	52	F	25
14882	2021	5201	Siena	LM-32	Computer And Automation Engineering  Ingegneria Informatica e dellAutomazione	SIENA	52	M	25
14883	2021	5001	Pisa	LM-69	Produzioni Agroalimentari e Gestione degli Agroecosistemi	PISA	50	M	25
14884	2021	5401	Perugia	LM-13	Chimica e Tecnologia Farmaceutiche	PERUGIA	54	F	25
14885	2020	6301	Napoli Federico II	L-01	Archeologia, Storia delle Arti e Scienze del Patrimonio Culturale	NAPOLI	63	M	25
14886	2020	6301	Napoli Federico II	L-07	Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	NAPOLI	63	F	25
